日付,年,月,日,曜日,平均気温,最高気温,最低気温,湿度,降水量,気圧,風速,日照時間,観測地点,天気
2023-09-05,2023,9,5,火,11.6,21.3,11.6,75.0,0.0,1014.5,1.9,7.5,東京,雪
2023-09-06,2023,9,6,水,18.0,23.7,14.7,42.0,5.5,1006.3,5.2,5.1,東京,雪
2023-09-07,2023,9,7,木,10.1,14.3,6.1,82.0,0.0,1002.4,3.2,6.2,東京,曇り
2023-09-08,2023,9,8,金,11.1,15.5,8.2,82.0,0.0,1008.6,0.7,2.3,東京,曇り
2023-09-09,2023,9,9,土,17.7,19.6,13.3,69.0,0.0,1011.5,0.8,5.2,東京,雪
2023-09-10,2023,9,10,日,22.9,31.3,19.7,72.0,0.0,1007.4,1.4,5.6,東京,晴れ
2023-09-11,2023,9,11,月,21.4,23.3,17.8,65.0,3.5,997.8,9.1,4.4,東京,曇り
2023-09-12,2023,9,12,火,24.4,30.1,19.3,94.0,0.0,1020.4,1.1,7.6,東京,晴れ
2023-09-13,2023,9,13,水,16.3,23.6,9.7,82.0,5.6,1019.6,6.8,8.6,東京,雨
2023-09-14,2023,9,14,木,14.8,19.1,12.4,68.0,24.0,1020.0,3.1,7.9,東京,曇り
2023-09-15,2023,9,15,金,18.7,22.3,15.3,62.0,6.5,1015.4,3.3,8.7,東京,雨
2023-09-16,2023,9,16,土,20.3,26.1,14.2,66.0,0.0,1007.8,5.5,4.3,東京,雨
2023-09-17,2023,9,17,日,18.3,24.5,16.0,84.0,0.0,1019.3,2.3,7.9,東京,曇り
2023-09-18,2023,9,18,月,20.6,24.0,16.0,87.0,3.0,1029.1,1.2,6.4,東京,雨
2023-09-19,2023,9,19,火,16.2,21.0,11.1,88.0,0.0,1008.1,18.5,8.9,東京,雨
2023-09-20,2023,9,20,水,18.9,23.9,16.7,62.0,0.0,1014.2,3.5,8.1,東京,晴れ
2023-09-21,2023,9,21,木,15.1,21.4,8.2,69.0,0.0,1020.3,0.6,8.1,東京,曇り
2023-09-22,2023,9,22,金,13.7,19.3,7.5,66.0,0.0,1017.7,0.4,7.5,東京,雪
2023-09-23,2023,9,23,土,18.1,22.1,12.4,61.0,0.1,1007.6,1.0,6.7,東京,曇り
2023-09-24,2023,9,24,日,13.9,17.3,6.0,74.0,0.0,1015.7,2.4,5.3,東京,晴れ
2023-09-25,2023,9,25,月,14.0,17.9,10.8,56.0,4.6,1017.9,2.9,7.3,東京,曇り
2023-09-26,2023,9,26,火,14.2,18.5,5.9,53.0,0.0,1008.7,0.8,8.5,東京,曇り
2023-09-27,2023,9,27,水,12.2,17.9,11.8,85.0,0.0,1018.7,4.4,3.8,東京,雪
2023-09-28,2023,9,28,木,18.0,24.8,19.7,62.0,1.5,1014.2,1.6,6.3,東京,晴れ
2023-09-29,2023,9,29,金,22.2,29.9,16.7,93.0,0.5,1008.7,2.3,8.2,東京,曇り
2023-09-30,2023,9,30,土,18.4,25.0,17.9,82.0,0.0,996.6,0.1,8.7,東京,曇り
2023-10-01,2023,10,1,日,18.1,26.2,11.4,90.0,0.0,1000.5,0.0,4.3,東京,晴れ
2023-10-02,2023,10,2,月,15.3,17.2,12.1,70.0,0.0,1030.6,2.5,7.1,東京,晴れ
2023-10-03,2023,10,3,火,15.3,17.5,10.5,70.0,0.0,1016.4,3.6,11.5,東京,曇り
2023-10-04,2023,10,4,水,18.4,25.2,11.8,65.0,0.0,1008.9,9.6,5.7,東京,曇り
2023-10-05,2023,10,5,木,10.2,15.6,2.8,68.0,0.0,1008.0,7.9,6.4,東京,雨
2023-10-06,2023,10,6,金,20.6,27.6,14.7,71.0,0.0,1008.4,1.7,8.9,東京,雨
2023-10-07,2023,10,7,土,17.6,17.9,15.2,100.0,0.0,1015.8,0.5,5.8,東京,雨
2023-10-08,2023,10,8,日,22.1,25.8,19.8,71.0,0.0,1007.9,1.0,3.3,東京,雨
2023-10-09,2023,10,9,月,24.1,26.7,21.4,60.0,4.6,1010.8,5.4,7.0,東京,曇り
2023-10-10,2023,10,10,火,17.9,22.8,11.6,70.0,0.0,1009.0,1.1,8.9,東京,雪
2023-10-11,2023,10,11,水,13.3,20.5,10.8,42.0,0.0,1012.7,0.3,7.1,東京,曇り
2023-10-12,2023,10,12,木,19.8,21.8,18.0,87.0,0.0,1022.8,3.0,4.2,東京,晴れ
2023-10-13,2023,10,13,金,12.7,20.7,11.2,55.0,12.4,1019.4,6.9,4.8,東京,晴れ
2023-10-14,2023,10,14,土,14.6,21.7,11.3,72.0,2.1,1006.2,2.9,5.8,東京,曇り
2023-10-15,2023,10,15,日,19.8,23.5,17.5,55.0,0.0,1014.0,9.3,11.1,東京,雨
2023-10-16,2023,10,16,月,21.5,27.5,14.4,56.0,35.4,1023.0,1.6,7.7,東京,雨
2023-10-17,2023,10,17,火,23.6,25.1,20.3,74.0,6.3,1003.0,1.0,4.8,東京,晴れ
2023-10-18,2023,10,18,水,18.7,26.6,15.4,93.0,9.2,1021.4,4.0,6.7,東京,晴れ
2023-10-19,2023,10,19,木,17.8,26.4,14.6,50.0,0.0,1006.8,0.0,5.7,東京,雨
2023-10-20,2023,10,20,金,17.6,21.0,16.1,65.0,0.0,1022.8,2.1,7.8,東京,雨
2023-10-21,2023,10,21,土,17.7,23.2,6.5,86.0,0.0,1018.9,0.4,4.8,東京,雨
2023-10-22,2023,10,22,日,22.2,27.8,18.0,84.0,0.0,1010.0,1.7,10.7,東京,晴れ
2023-10-23,2023,10,23,月,21.6,25.0,17.7,59.0,5.2,1013.6,2.6,6.3,東京,雨
2023-10-24,2023,10,24,火,21.0,26.2,17.8,75.0,0.2,1014.6,8.8,2.2,東京,曇り
2023-10-25,2023,10,25,水,15.1,21.9,10.4,64.0,16.4,1015.2,4.4,6.5,東京,曇り
2023-10-26,2023,10,26,木,16.3,23.1,12.9,66.0,4.7,1017.0,4.4,7.6,東京,曇り
2023-10-27,2023,10,27,金,24.7,32.3,21.1,66.0,0.0,993.9,0.5,7.3,東京,曇り
2023-10-28,2023,10,28,土,15.8,20.3,13.0,74.0,0.0,1027.0,4.6,9.0,東京,曇り
2023-10-29,2023,10,29,日,17.5,21.0,13.7,44.0,0.0,1008.7,0.7,8.4,東京,雪
2023-10-30,2023,10,30,月,14.1,19.5,10.9,64.0,0.0,1014.8,0.2,6.4,東京,晴れ
2023-10-31,2023,10,31,火,10.0,12.8,7.6,95.0,0.0,1009.9,0.6,4.4,東京,晴れ
2023-11-01,2023,11,1,水,22.4,28.4,20.6,55.0,0.0,1022.3,15.1,6.1,東京,雪
2023-11-02,2023,11,2,木,13.4,21.4,9.2,67.0,0.0,1025.3,1.5,7.8,東京,曇り
2023-11-03,2023,11,3,金,18.4,28.0,11.7,76.0,0.0,1019.8,0.1,8.5,東京,雨
2023-11-04,2023,11,4,土,18.3,25.3,13.2,48.0,0.0,1017.0,4.8,4.3,東京,雨
2023-11-05,2023,11,5,日,21.5,27.3,13.8,73.0,7.5,1013.8,7.7,7.6,東京,曇り
2023-11-06,2023,11,6,月,9.7,14.4,4.7,74.0,0.0,1027.3,6.6,7.5,東京,雪
2023-11-07,2023,11,7,火,23.6,28.6,20.7,100.0,0.0,991.8,3.9,5.9,東京,晴れ
2023-11-08,2023,11,8,水,24.0,30.6,20.6,81.0,0.0,1014.3,4.4,8.0,東京,曇り
2023-11-09,2023,11,9,木,18.5,24.2,16.2,45.0,0.0,1019.1,0.8,5.4,東京,曇り
2023-11-10,2023,11,10,金,21.1,27.0,15.5,80.0,0.0,1021.8,0.8,7.6,東京,雨
2023-11-11,2023,11,11,土,14.1,18.1,10.7,64.0,0.0,1019.9,1.4,7.1,東京,晴れ
2023-11-12,2023,11,12,日,15.6,21.4,12.0,84.0,0.0,1010.2,4.8,6.4,東京,曇り
2023-11-13,2023,11,13,月,18.1,23.7,12.3,60.0,9.1,1011.8,0.5,10.4,東京,曇り
2023-11-14,2023,11,14,火,14.6,21.4,12.8,63.0,0.0,1013.3,15.2,8.0,東京,曇り
2023-11-15,2023,11,15,水,11.1,16.6,7.4,84.0,0.0,1011.3,0.8,7.0,東京,晴れ
2023-11-16,2023,11,16,木,17.4,25.7,14.4,60.0,0.0,1012.6,3.4,6.3,東京,曇り
2023-11-17,2023,11,17,金,11.3,18.2,6.3,63.0,0.0,997.5,2.1,7.2,東京,雨
2023-11-18,2023,11,18,土,21.2,27.1,14.8,55.0,0.0,1021.0,2.4,12.1,東京,雨
2023-11-19,2023,11,19,日,21.2,26.5,17.7,54.0,1.0,1012.0,3.5,8.8,東京,晴れ
2023-11-20,2023,11,20,月,16.7,21.8,12.7,74.0,0.0,1028.6,1.1,9.1,東京,雨
2023-11-21,2023,11,21,火,23.8,27.2,19.6,80.0,0.0,1008.8,1.9,5.3,東京,晴れ
2023-11-22,2023,11,22,水,12.5,17.6,9.3,72.0,1.6,1017.6,0.2,7.7,東京,雨
2023-11-23,2023,11,23,木,10.9,17.5,8.9,47.0,0.0,1030.3,0.1,6.7,東京,晴れ
2023-11-24,2023,11,24,金,14.6,21.3,11.7,75.0,0.0,1017.5,4.0,7.8,東京,雨
2023-11-25,2023,11,25,土,26.1,31.5,21.0,76.0,0.2,1005.0,0.0,5.5,東京,晴れ
2023-11-26,2023,11,26,日,13.7,17.1,10.7,67.0,0.0,1017.1,1.3,7.4,東京,曇り
2023-11-27,2023,11,27,月,21.2,26.9,20.1,87.0,0.0,1016.5,1.3,7.6,東京,晴れ
2023-11-28,2023,11,28,火,20.1,24.7,10.2,63.0,0.0,1013.6,0.4,9.0,東京,晴れ
2023-11-29,2023,11,29,水,24.5,28.9,18.6,90.0,0.0,1011.9,0.2,7.3,東京,曇り
2023-11-30,2023,11,30,木,24.2,31.7,18.8,64.0,20.1,1010.8,0.5,7.0,東京,晴れ
2023-12-01,2023,12,1,金,6.8,11.0,4.0,80.0,0.0,1010.2,1.4,5.7,東京,曇り
2023-12-02,2023,12,2,土,5.1,9.7,2.6,64.0,0.0,1009.1,9.5,7.4,東京,曇り
2023-12-03,2023,12,3,日,6.1,9.0,1.9,35.0,1.2,997.2,2.0,6.5,東京,雪
2023-12-04,2023,12,4,月,10.1,15.1,6.8,47.0,0.0,1008.9,1.5,7.1,東京,曇り
2023-12-05,2023,12,5,火,9.4,11.9,9.5,41.0,0.1,1012.7,2.5,8.5,東京,曇り
2023-12-06,2023,12,6,水,4.4,7.2,0.2,53.0,0.0,1013.6,3.0,8.0,東京,雪
2023-12-07,2023,12,7,木,13.6,19.8,7.7,73.0,0.0,1022.6,5.0,7.8,東京,曇り
2023-12-08,2023,12,8,金,3.3,8.8,1.0,70.0,0.0,1017.2,1.1,8.3,東京,晴れ
2023-12-09,2023,12,9,土,10.8,17.2,6.5,66.0,0.0,1007.3,1.9,7.5,東京,曇り
2023-12-10,2023,12,10,日,0.1,5.4,-4.7,63.0,0.0,1021.6,1.4,9.1,東京,曇り
2023-12-11,2023,12,11,月,5.9,8.0,1.6,71.0,0.0,1014.4,0.9,5.6,東京,晴れ
2023-12-12,2023,12,12,火,11.6,15.8,9.8,46.0,0.0,1008.4,1.6,7.4,東京,曇り
2023-12-13,2023,12,13,水,2.1,8.6,-1.0,68.0,0.7,1024.1,1.4,6.8,東京,曇り
2023-12-14,2023,12,14,木,-0.6,2.3,-1.1,59.0,0.0,1016.8,0.4,4.9,東京,晴れ
2023-12-15,2023,12,15,金,7.7,12.6,2.8,78.0,0.0,1008.5,13.2,5.6,東京,曇り
2023-12-16,2023,12,16,土,11.0,15.8,9.0,79.0,0.2,1022.7,2.2,7.8,東京,晴れ
2023-12-17,2023,12,17,日,4.1,9.9,2.8,72.0,0.0,1023.3,0.3,8.7,東京,曇り
2023-12-18,2023,12,18,月,-2.4,3.0,-1.2,59.0,0.0,999.5,3.5,5.8,東京,雨
2023-12-19,2023,12,19,火,-3.4,2.8,-7.3,72.0,1.4,1009.3,17.6,4.2,東京,晴れ
2023-12-20,2023,12,20,水,0.9,7.4,-1.8,66.0,0.0,1025.8,2.6,9.4,東京,曇り
2023-12-21,2023,12,21,木,2.5,3.8,-3.9,74.0,2.4,1013.8,0.3,6.3,東京,曇り
2023-12-22,2023,12,22,金,-2.6,0.9,0.1,54.0,0.5,1008.1,0.6,3.7,東京,晴れ
2023-12-23,2023,12,23,土,6.6,10.9,4.1,81.0,0.0,1016.7,0.5,3.1,東京,雨
2023-12-24,2023,12,24,日,7.0,11.4,4.7,48.0,0.0,1010.2,2.8,8.7,東京,曇り
2023-12-25,2023,12,25,月,2.2,7.3,-2.8,55.0,0.0,1028.5,4.5,4.9,東京,晴れ
2023-12-26,2023,12,26,火,4.5,8.2,2.3,49.0,0.0,1015.4,1.5,8.2,東京,晴れ
2023-12-27,2023,12,27,水,9.6,19.5,8.7,51.0,0.0,1008.7,5.9,5.9,東京,雪
2023-12-28,2023,12,28,木,1.4,7.4,-4.2,55.0,0.0,1006.4,0.2,5.4,東京,曇り
2023-12-29,2023,12,29,金,5.3,5.3,1.1,45.0,0.0,1015.0,1.3,4.5,東京,晴れ
2023-12-30,2023,12,30,土,5.4,11.6,0.1,59.0,0.0,1018.0,5.3,4.9,東京,晴れ
2023-12-31,2023,12,31,日,3.8,9.1,-2.6,74.0,0.0,1014.7,7.8,6.5,東京,晴れ
