年月,地域,店舗名,売上金額,粗利益,顧客数,販売数量
2024-08,中部,静岡店,477295,172322,1025,2578
2024-08,九州,熊本店,367311,133903,869,2023
2024-08,九州,福岡店,153506,57394,536,920
2024-08,九州,長崎店,231404,85288,664,1333
2024-08,九州,鹿児島店,324282,118589,808,1832
2024-08,北海道,函館店,274420,100564,726,1565
2024-08,北海道,旭川店,153044,57610,539,925
2024-08,北海道,札幌店,186863,69436,597,1096
2024-08,四国,松山店,276948,101607,746,1576
2024-08,四国,高松店,371565,135867,873,2082
2024-08,東北,仙台店,267642,98661,700,1530
2024-08,東北,盛岡店,220691,81871,642,1277
2024-08,東北,秋田店,190749,70571,591,1115
2024-08,東北,青森店,267045,97921,728,1512
2024-08,関東,千葉店,395485,143459,922,2170
2024-08,関東,大宮店,577017,207224,1192,3076
2024-08,関東,川崎店,350844,127969,849,1962
2024-08,関東,東京都心店,1095705,389000,2063,5571
2024-08,関東,横浜店,676469,241988,1335,3508
2024-08,関東,立川店,361693,131925,863,2012
2024-08,関西,京都店,360021,130855,864,1977
2024-08,関西,大阪梅田店,1038587,367967,1948,5252
2024-08,関西,奈良店,461675,167028,1000,2495
2024-08,関西,神戸店,691072,246842,1376,3587
2024-09,中国,岡山店,276804,101204,709,1561
2024-09,中国,広島店,331891,120961,793,1847
2024-09,中国,鳥取店,186620,69518,592,1104
2024-09,中部,名古屋店,307847,112777,764,1736
2024-09,中部,新潟店,361883,132725,843,2012
2024-09,中部,金沢店,499390,180719,1065,2682
2024-09,中部,静岡店,362852,132461,856,2012
2024-09,九州,熊本店,280597,102575,721,1589
2024-09,九州,福岡店,106884,40493,431,662
2024-09,九州,長崎店,170481,64113,553,1018
2024-09,九州,鹿児島店,252224,92199,706,1445
2024-09,北海道,函館店,220883,81509,645,1263
2024-09,北海道,旭川店,111937,42492,442,692
2024-09,北海道,札幌店,148915,55935,511,902
2024-09,四国,松山店,232030,85175,653,1325
2024-09,四国,高松店,296420,109014,755,1676
2024-09,東北,仙台店,196964,72904,611,1160
2024-09,東北,盛岡店,164495,61518,551,975
2024-09,東北,秋田店,143318,53295,506,862
2024-09,東北,青森店,186956,69499,584,1099
2024-09,関東,千葉店,303516,110831,766,1707
2024-09,関東,大宮店,469864,169529,999,2528
2024-09,関東,川崎店,271952,99885,716,1552
2024-09,関東,東京都心店,861215,308126,1659,4442
2024-09,関東,横浜店,512377,184856,1077,2749
2024-09,関東,立川店,263336,96687,705,1498
2024-09,関西,京都店,272328,99664,720,1535
2024-09,関西,大阪梅田店,860859,307658,1648,4420
2024-09,関西,奈良店,345828,126689,836,1942
2024-09,関西,神戸店,538356,193199,1126,2878
2024-10,中国,岡山店,308376,112590,777,1723
2024-10,中国,広島店,356896,130851,868,2011
2024-10,中国,鳥取店,223292,82112,663,1286
2024-10,中部,名古屋店,332578,122159,824,1863
2024-10,中部,新潟店,392091,142662,923,2176
2024-10,中部,金沢店,545265,195524,1132,2924
2024-10,中部,静岡店,396928,144061,901,2179
2024-10,九州,熊本店,307638,113248,775,1754
2024-10,九州,福岡店,116312,44064,462,720
2024-10,九州,長崎店,185543,68596,602,1069
2024-10,九州,鹿児島店,265363,97274,722,1508
2024-10,北海道,函館店,244563,89943,704,1397
2024-10,北海道,旭川店,127661,48176,483,774
2024-10,北海道,札幌店,161580,60622,551,976
2024-10,四国,松山店,249853,92095,709,1430
2024-10,四国,高松店,320422,117858,791,1794
2024-10,東北,仙台店,235103,86556,675,1362
2024-10,東北,盛岡店,173346,64542,589,1019
2024-10,東北,秋田店,163240,61319,560,965
2024-10,東北,青森店,224882,82839,664,1298
2024-10,関東,千葉店,335218,123094,826,1880
2024-10,関東,大宮店,511690,184601,1081,2727
2024-10,関東,川崎店,296366,108472,767,1666
2024-10,関東,東京都心店,925647,331109,1790,4825
2024-10,関東,横浜店,554891,200099,1146,2976
2024-10,関東,立川店,296633,109014,762,1692
2024-10,関西,京都店,297970,109948,755,1697
2024-10,関西,大阪梅田店,909532,324341,1735,4669
2024-10,関西,奈良店,387365,140564,884,2124
2024-10,関西,神戸店,568290,205783,1183,3052
2024-11,中国,岡山店,342480,125604,825,1920
2024-11,中国,広島店,392827,141665,859,2131
2024-11,中国,鳥取店,234309,86315,667,1349
2024-11,中部,名古屋店,359096,130898,824,1979
2024-11,中部,新潟店,425020,153824,919,2298
2024-11,中部,金沢店,601647,216310,1233,3181
2024-11,中部,静岡店,431598,156122,971,2367
2024-11,九州,熊本店,335221,122713,815,1877
2024-11,九州,福岡店,139082,51958,497,848
2024-11,九州,長崎店,199337,74096,601,1170
2024-11,九州,鹿児島店,301285,110750,765,1704
2024-11,北海道,函館店,261223,95643,715,1467
2024-11,北海道,旭川店,134804,50509,493,823
2024-11,北海道,札幌店,180454,67138,585,1056
2024-11,四国,松山店,264207,96814,709,1494
2024-11,四国,高松店,347966,127070,824,1942
2024-11,東北,仙台店,242598,89375,667,1395
2024-11,東北,盛岡店,195246,72469,604,1138
2024-11,東北,秋田店,174127,64622,563,1032
2024-11,東北,青森店,240161,88403,668,1373
2024-11,関東,千葉店,362465,131892,862,2022
2024-11,関東,大宮店,545626,196106,1147,2908
2024-11,関東,川崎店,331169,121214,806,1854
2024-11,関東,東京都心店,998782,355884,1900,5068
2024-11,関東,横浜店,613979,221012,1284,3284
2024-11,関東,立川店,324385,118955,800,1830
2024-11,関西,京都店,319167,117518,782,1827
2024-11,関西,大阪梅田店,958469,342056,1856,4939
2024-11,関西,奈良店,413618,150174,934,2259
2024-11,関西,神戸店,623067,222612,1259,3264
2024-12,中国,岡山店,406635,146830,932,2229
2024-12,中国,広島店,486171,175549,1040,2621
2024-12,中国,鳥取店,282610,103903,738,1629
2024-12,中部,名古屋店,450321,162283,989,2424
2024-12,中部,新潟店,533026,191449,1111,2847
2024-12,中部,金沢店,730214,260577,1412,3755
2024-12,中部,静岡店,520834,188491,1108,2796
2024-12,九州,熊本店,424327,153487,949,2306
2024-12,九州,福岡店,176307,65381,582,1038
2024-12,九州,長崎店,261236,96239,716,1494
2024-12,九州,鹿児島店,354200,129009,855,1974
2024-12,北海道,函館店,341060,124958,834,1914
2024-12,北海道,旭川店,189657,70935,599,1115
2024-12,北海道,札幌店,239983,87919,693,1387
2024-12,四国,松山店,326060,120426,799,1858
2024-12,四国,高松店,438242,158631,987,2384
2024-12,東北,仙台店,304432,112107,785,1736
2024-12,東北,盛岡店,247067,91186,696,1399
2024-12,東北,秋田店,241227,88223,693,1372
2024-12,東北,青森店,302438,110591,794,1708
2024-12,関東,千葉店,453738,163634,984,2437
2024-12,関東,大宮店,681656,243620,1349,3515
2024-12,関東,川崎店,404301,145992,908,2207
2024-12,関東,東京都心店,1200743,425550,2302,6066
2024-12,関東,横浜店,731266,261857,1423,3793
2024-12,関東,立川店,402791,145583,932,2212
2024-12,関西,京都店,404686,146677,918,2211
2024-12,関西,大阪梅田店,1155541,411217,2206,5843
2024-12,関西,奈良店,510246,184896,1068,2745
2024-12,関西,神戸店,747921,266615,1422,3859
