カラット,カット,色,透明度,奥行き,テーブル,価格,長さ,幅,深さ,鑑定書,産地
1.23,Very Good,D,VS1,68.8,63.1,4660,5.2,5.1,3.29,清水ガス有限会社鑑定所,ボツワナ
1.05,Good,J,IF,60.6,62.6,2952,4.53,4.49,2.56,岡田情報有限会社鑑定所,ボツワナ
1.4,Premium,D,VS2,61.4,57.5,7219,5.23,5.07,3.36,木村通信株式会社鑑定所,カナダ
1.01,Premium,G,VVS1,65.7,57.3,3612,4.52,4.45,3.31,合同会社加藤通信鑑定所,南アフリカ
2.22,Very Good,G,VS1,58.5,59.7,15681,6.38,6.39,3.29,伊藤印刷有限会社鑑定所,カナダ
0.44,Very Good,F,SI1,48.7,57.1,548,3.49,3.43,2.15,森農林有限会社鑑定所,オーストラリア
0.78,Premium,F,VS2,60.2,58.1,1735,3.91,3.94,2.83,鈴木農林合同会社鑑定所,南アフリカ
4.1,Good,D,SI1,60.3,56.6,40561,7.48,7.31,4.68,株式会社村上電気鑑定所,南アフリカ
0.75,Very Good,I,VVS1,51.3,61.0,1451,3.96,3.86,2.39,株式会社松本情報鑑定所,ロシア
0.59,Good,J,VS2,62.5,60.1,950,3.85,3.77,2.39,合同会社鈴木電気鑑定所,カナダ
0.92,Very Good,G,SI2,57.2,61.1,2544,4.06,4.02,2.91,合同会社中村農林鑑定所,ボツワナ
1.53,Ideal,D,VS2,59.3,60.4,6914,5.42,5.33,3.16,株式会社山田建設鑑定所,カナダ
1.25,Very Good,E,I1,57.0,58.7,4584,4.89,4.97,2.75,藤井通信合同会社鑑定所,ボツワナ
0.54,Very Good,G,IF,57.1,59.2,877,3.8,3.8,2.24,株式会社青木食品鑑定所,南アフリカ
1.04,Ideal,J,I1,62.7,60.5,4280,4.24,4.21,2.55,鈴木建設有限会社鑑定所,ボツワナ
0.76,Ideal,J,SI1,51.7,58.5,1591,4.18,4.03,2.58,合同会社吉田鉱業鑑定所,南アフリカ
0.77,Very Good,H,I1,54.2,57.7,1797,3.72,3.61,2.2,坂本ガス株式会社鑑定所,カナダ
1.54,Good,F,IF,61.0,55.1,6496,5.28,5.24,3.15,斎藤鉱業有限会社鑑定所,南アフリカ
0.52,Ideal,E,SI2,55.6,56.0,918,3.5,3.48,2.13,株式会社石川水産鑑定所,ロシア
1.12,Premium,E,VS1,68.0,57.4,4505,4.52,4.49,2.72,石井運輸有限会社鑑定所,南アフリカ
0.42,Premium,E,VS1,59.5,69.3,580,3.52,3.46,2.06,山田保険有限会社鑑定所,ボツワナ
0.88,Good,H,SI2,64.3,56.2,2201,4.26,4.09,2.72,佐藤保険合同会社鑑定所,ロシア
0.97,Very Good,F,I1,63.4,57.7,3137,4.29,4.24,2.64,木村建設有限会社鑑定所,ボツワナ
1.14,Very Good,J,VVS1,60.1,66.0,3724,4.59,4.58,2.5,株式会社加藤電気鑑定所,ボツワナ
1.15,Premium,D,I1,70.3,62.3,4830,5.17,4.98,3.46,合同会社小林銀行鑑定所,南アフリカ
1.35,Ideal,E,SI1,63.3,56.7,6962,5.58,5.28,3.01,鈴木運輸有限会社鑑定所,ボツワナ
0.76,Good,G,VVS1,54.4,58.8,1546,4.3,4.02,2.81,有限会社山口情報鑑定所,南アフリカ
1.46,Good,I,IF,48.9,58.4,6075,5.0,4.77,2.55,佐藤印刷合同会社鑑定所,南アフリカ
1.18,Very Good,F,SI2,55.4,61.0,4478,4.87,4.8,2.74,岡田銀行有限会社鑑定所,カナダ
0.64,Premium,I,SI1,60.6,59.7,1410,4.12,4.07,2.4,佐藤印刷株式会社鑑定所,ボツワナ
1.4,Ideal,D,VVS1,55.8,53.2,5993,4.81,4.87,2.71,阿部建設合同会社鑑定所,南アフリカ
0.84,Fair,G,IF,54.6,63.1,1870,4.41,4.36,2.72,有限会社松本建設鑑定所,オーストラリア
0.29,Premium,I,IF,54.5,52.3,500,3.0,3.0,1.63,有限会社吉田運輸鑑定所,南アフリカ
0.95,Ideal,F,IF,64.0,54.4,3674,4.66,4.54,2.59,中村水産株式会社鑑定所,ボツワナ
1.27,Premium,J,VS2,60.0,62.6,4611,5.0,4.95,3.12,森印刷株式会社鑑定所,ボツワナ
0.71,Ideal,G,VVS1,57.2,62.5,2020,3.81,3.76,2.12,中島水産有限会社鑑定所,カナダ
1.49,Very Good,I,I1,64.7,59.3,7136,5.39,5.29,2.98,株式会社松本印刷鑑定所,オーストラリア
1.78,Good,D,VVS2,54.5,54.8,9610,5.62,5.62,3.57,石川農林株式会社鑑定所,南アフリカ
1.41,Premium,G,SI2,63.0,60.5,6311,4.79,4.68,2.91,有限会社阿部通信鑑定所,カナダ
0.63,Ideal,J,VVS1,66.3,60.9,1550,3.75,3.56,2.3,小川食品有限会社鑑定所,ロシア
0.49,Very Good,F,VS2,55.4,64.4,794,3.83,3.72,2.48,株式会社佐々木建設鑑定所,カナダ
1.55,Premium,F,SI1,70.0,61.2,8082,5.5,5.28,3.75,有限会社鈴木ガス鑑定所,ボツワナ
1.22,Very Good,J,VVS1,55.6,57.3,4947,4.84,4.85,3.09,有限会社佐藤食品鑑定所,ボツワナ
0.76,Premium,J,VVS1,54.4,58.1,2132,3.98,3.94,2.16,合同会社高橋農林鑑定所,ロシア
1.38,Ideal,E,SI1,61.4,57.4,6601,5.19,5.05,2.95,株式会社岡本保険鑑定所,ボツワナ
1.9,Very Good,J,I1,65.0,60.2,9838,5.69,5.51,3.44,山田電気有限会社鑑定所,オーストラリア
0.85,Very Good,F,VS1,57.9,61.5,2208,3.97,3.84,2.06,岡田水産合同会社鑑定所,カナダ
0.64,Premium,G,SI2,59.5,59.8,1376,4.19,4.15,2.62,田中印刷有限会社鑑定所,オーストラリア
1.1,Premium,D,VS1,60.2,62.3,3946,4.55,4.35,2.71,有限会社山本ガス鑑定所,オーストラリア
1.29,Very Good,F,IF,67.7,61.4,5511,5.1,5.17,3.77,合同会社坂本農林鑑定所,オーストラリア
0.6,Ideal,H,VVS1,68.6,57.7,1177,4.2,4.29,2.52,松田通信有限会社鑑定所,カナダ
0.77,Very Good,J,VS1,68.5,57.7,1864,3.93,3.86,2.45,阿部印刷合同会社鑑定所,カナダ
1.57,Good,E,SI1,65.5,60.0,5997,5.88,5.83,3.35,有限会社山下保険鑑定所,南アフリカ
0.9,Fair,E,VVS1,63.7,60.3,1863,4.13,4.07,2.47,田中鉱業株式会社鑑定所,オーストラリア
2.32,Premium,G,IF,65.2,65.3,16683,5.67,5.42,3.45,合同会社小林通信鑑定所,カナダ
1.07,Good,I,VVS1,55.7,63.2,2963,4.3,4.11,2.66,有限会社田中銀行鑑定所,南アフリカ
0.93,Ideal,D,VS2,60.4,63.6,2756,5.14,5.12,3.14,石川食品株式会社鑑定所,オーストラリア
2.82,Very Good,G,VS1,61.5,58.4,26708,7.05,6.8,3.72,吉田鉱業合同会社鑑定所,オーストラリア
0.8,Ideal,H,VVS1,67.9,60.6,2510,4.47,4.5,2.59,合同会社山口運輸鑑定所,カナダ
1.35,Ideal,G,VVS1,60.3,58.9,6577,5.31,5.27,3.13,有限会社加藤印刷鑑定所,ロシア
1.39,Very Good,G,VVS2,56.0,59.4,5876,5.29,5.27,3.02,合同会社山本通信鑑定所,ボツワナ
2.01,Very Good,G,VS1,52.6,58.9,12470,5.69,5.53,3.6,松本印刷合同会社鑑定所,オーストラリア
2.45,Premium,H,SI1,61.7,63.4,22295,6.4,6.29,4.41,株式会社福田電気鑑定所,カナダ
1.1,Ideal,F,VS2,61.7,59.2,3935,4.82,4.68,2.57,有限会社清水建設鑑定所,南アフリカ
0.95,Very Good,H,SI2,62.4,61.5,3033,4.42,4.36,2.85,有限会社鈴木運輸鑑定所,ボツワナ
0.83,Good,G,I1,46.4,59.6,2085,4.14,4.0,2.68,株式会社鈴木電気鑑定所,オーストラリア
1.49,Very Good,D,IF,53.4,59.2,6881,5.31,5.18,2.74,林情報株式会社鑑定所,カナダ
0.53,Very Good,D,SI2,58.0,60.4,1021,4.1,3.92,2.78,合同会社伊藤ガス鑑定所,ボツワナ
2.94,Ideal,D,VS1,55.4,56.7,25398,6.49,6.43,3.37,有限会社山本保険鑑定所,南アフリカ
0.86,Very Good,H,VS2,51.5,57.3,2166,4.82,4.58,2.46,西村印刷株式会社鑑定所,ロシア
1.51,Fair,H,VS1,47.6,59.3,5152,5.41,5.26,3.19,鈴木銀行合同会社鑑定所,ロシア
1.62,Very Good,D,I1,56.0,60.9,8989,5.61,5.35,2.64,佐藤電気合同会社鑑定所,カナダ
0.56,Premium,I,SI1,57.6,59.8,931,3.69,3.63,2.26,株式会社坂本ガス鑑定所,ロシア
0.77,Premium,F,VS1,55.0,59.0,1871,3.78,3.81,2.01,株式会社高橋運輸鑑定所,カナダ
1.14,Very Good,G,SI1,61.8,59.2,3969,4.89,4.73,3.43,小林水産合同会社鑑定所,ボツワナ
1.14,Premium,G,VS1,54.7,54.7,4575,4.89,4.77,2.9,小林保険株式会社鑑定所,南アフリカ
1.58,Very Good,F,SI1,58.4,59.3,8293,5.13,5.1,3.45,合同会社佐藤ガス鑑定所,オーストラリア
2.08,Good,E,VVS2,53.1,62.2,11940,6.15,6.1,3.71,合同会社伊藤保険鑑定所,南アフリカ
1.68,Very Good,H,VS1,60.8,62.8,9195,5.34,5.21,3.09,木村ガス株式会社鑑定所,カナダ
1.26,Very Good,E,IF,60.0,62.9,4689,5.4,5.2,3.84,池田印刷有限会社鑑定所,ロシア
1.61,Premium,H,VVS2,57.0,63.7,7053,5.61,5.55,3.41,佐藤印刷合同会社鑑定所,南アフリカ
0.77,Premium,E,SI1,55.4,59.7,2108,4.17,4.09,2.49,有限会社高橋運輸鑑定所,ロシア
2.5,Very Good,H,I1,63.3,56.7,18269,6.46,6.36,4.26,中島電気有限会社鑑定所,オーストラリア
0.78,Premium,G,VVS1,70.7,55.4,1742,4.43,4.16,2.61,小林通信有限会社鑑定所,ボツワナ
1.22,Good,D,VVS1,68.7,63.7,3739,5.07,4.79,3.1,田中水産株式会社鑑定所,ボツワナ
0.73,Good,G,IF,56.8,56.0,1097,4.38,4.25,2.75,佐々木電気有限会社鑑定所,カナダ
1.2,Premium,F,SI1,59.4,61.3,4749,5.43,5.17,3.12,中村建設合同会社鑑定所,ロシア
1.89,Very Good,G,SI2,59.9,58.9,12236,6.02,5.94,3.5,高橋印刷合同会社鑑定所,カナダ
1.63,Very Good,E,I1,57.5,68.1,7203,5.45,5.33,3.19,林ガス有限会社鑑定所,オーストラリア
1.5,Premium,G,IF,64.9,59.3,7099,5.1,5.16,3.3,合同会社清水農林鑑定所,オーストラリア
1.62,Very Good,J,VS1,51.8,61.7,8952,5.39,5.34,3.29,有限会社山田保険鑑定所,カナダ
0.65,Good,E,IF,67.7,63.6,1058,4.56,4.63,2.72,合同会社井上鉱業鑑定所,ボツワナ
0.39,Premium,E,I1,57.7,53.2,500,3.51,3.38,1.97,鈴木銀行合同会社鑑定所,カナダ
1.18,Good,I,VS1,68.6,62.3,3661,4.8,4.83,2.71,株式会社石川建設鑑定所,ロシア
2.02,Very Good,J,VVS1,66.9,61.0,11679,6.18,6.05,3.47,鈴木建設株式会社鑑定所,カナダ
0.72,Premium,F,SI2,61.5,56.4,1621,4.24,4.09,2.29,木村運輸合同会社鑑定所,ロシア
1.13,Premium,D,IF,61.0,65.5,3768,5.17,5.04,2.88,田中運輸株式会社鑑定所,オーストラリア
1.24,Good,E,SI2,67.0,56.5,4674,5.2,5.3,3.0,合同会社林保険鑑定所,ロシア
1.7,Very Good,D,I1,58.3,62.7,8481,5.24,5.07,2.24,合同会社田中食品鑑定所,カナダ
0.43,Very Good,J,VVS1,61.6,56.9,503,3.51,3.46,2.25,山口通信株式会社鑑定所,ボツワナ
0.83,Premium,H,VS1,56.0,61.7,2466,4.29,4.2,2.58,株式会社渡辺通信鑑定所,ロシア
1.26,Ideal,E,SI2,67.3,61.4,6798,4.29,4.16,2.5,佐々木農林合同会社鑑定所,ロシア
0.64,Premium,I,SI1,58.0,61.8,1096,3.68,3.72,2.35,藤田電気合同会社鑑定所,ロシア
1.24,Good,J,VVS2,66.0,63.1,4360,4.48,4.3,2.84,吉田印刷株式会社鑑定所,オーストラリア
0.95,Premium,E,VS1,67.4,59.9,3291,4.49,4.52,2.65,小林食品株式会社鑑定所,ボツワナ
1.42,Premium,I,SI1,68.0,59.8,7107,5.32,5.2,2.96,合同会社高橋銀行鑑定所,ロシア
1.14,Good,J,I1,52.3,64.8,2855,4.77,4.7,2.8,有限会社小林情報鑑定所,南アフリカ
1.05,Premium,E,VVS1,54.3,58.8,2915,4.43,4.39,3.0,清水銀行有限会社鑑定所,ロシア
0.54,Very Good,F,VS1,66.2,63.7,863,3.64,3.58,2.23,小林鉱業株式会社鑑定所,オーストラリア
1.67,Premium,H,VVS2,53.9,66.6,8470,5.56,5.53,3.6,株式会社山田農林鑑定所,オーストラリア
1.47,Premium,I,VVS2,61.0,61.1,7108,4.9,4.78,2.36,鈴木鉱業有限会社鑑定所,ロシア
0.98,Premium,G,SI2,55.9,57.8,3653,4.71,4.63,2.56,池田保険合同会社鑑定所,ロシア
0.7,Premium,F,IF,58.3,63.7,1767,4.12,3.9,2.2,松本情報株式会社鑑定所,カナダ
0.64,Very Good,E,SI1,63.1,65.4,1302,3.77,3.6,2.2,有限会社佐藤ガス鑑定所,南アフリカ
1.39,Good,D,SI1,55.3,61.4,5784,5.35,5.23,3.31,山下銀行株式会社鑑定所,オーストラリア
0.94,Ideal,D,IF,56.4,57.2,3457,4.41,4.39,2.05,鈴木銀行有限会社鑑定所,カナダ
1.6,Premium,I,VS1,59.9,54.7,9457,5.34,5.11,2.94,高橋食品有限会社鑑定所,ロシア
0.68,Premium,D,IF,59.5,56.7,1289,4.1,4.06,2.36,高橋電気合同会社鑑定所,オーストラリア
0.82,Very Good,F,I1,56.5,61.4,2140,4.23,4.06,2.17,林運輸株式会社鑑定所,オーストラリア
0.7,Good,G,VVS2,51.4,59.6,1320,4.34,4.23,2.36,山下通信合同会社鑑定所,オーストラリア
0.98,Premium,F,VVS2,69.5,64.7,2772,4.6,4.42,2.83,有限会社石井電気鑑定所,南アフリカ
0.5,Ideal,F,SI1,65.2,59.8,1008,3.72,3.5,2.32,後藤印刷合同会社鑑定所,カナダ
1.68,Premium,D,VS2,52.2,60.8,9831,5.9,5.79,3.13,渡辺保険株式会社鑑定所,オーストラリア
0.7,Good,I,VS2,55.6,65.4,1074,4.31,4.14,2.4,株式会社藤井建設鑑定所,南アフリカ
1.5,Premium,D,VS1,52.5,57.0,7677,4.86,4.72,2.53,高橋建設有限会社鑑定所,ロシア
0.63,Ideal,E,SI1,57.6,57.4,1601,3.73,3.58,2.11,阿部電気合同会社鑑定所,カナダ
0.91,Premium,D,SI2,62.2,60.0,2301,4.51,4.56,2.91,合同会社森印刷鑑定所,オーストラリア
0.99,Premium,H,SI1,68.3,58.1,2568,4.73,4.84,2.9,有限会社清水印刷鑑定所,ボツワナ
0.98,Premium,H,I1,54.4,65.1,3524,4.33,4.24,2.28,松田保険有限会社鑑定所,ロシア
0.4,Very Good,E,VS2,61.4,63.4,500,3.7,3.57,2.27,伊藤電気合同会社鑑定所,ロシア
0.47,Ideal,D,IF,56.5,61.6,840,3.8,3.82,1.97,株式会社伊藤農林鑑定所,ボツワナ
1.32,Premium,H,VVS1,59.0,68.9,4996,4.71,4.73,2.3,合同会社佐々木運輸鑑定所,オーストラリア
1.08,Very Good,F,SI1,46.4,59.3,3737,4.52,4.43,2.49,前田通信有限会社鑑定所,ボツワナ
1.54,Ideal,H,SI1,68.8,61.5,8090,5.33,5.54,3.17,山本通信有限会社鑑定所,ボツワナ
1.0,Very Good,D,VVS1,69.1,58.5,2642,4.44,4.31,2.73,藤井保険合同会社鑑定所,南アフリカ
1.26,Very Good,G,SI1,69.4,57.4,4484,4.95,4.79,2.83,佐藤通信有限会社鑑定所,カナダ
0.57,Very Good,E,IF,61.2,61.2,749,3.97,3.98,2.46,株式会社山田ガス鑑定所,ロシア
1.52,Premium,I,VS2,60.4,63.6,8367,5.0,5.0,2.96,中村保険株式会社鑑定所,オーストラリア
1.25,Ideal,F,SI2,63.3,56.0,5450,4.86,4.64,3.02,有限会社近藤電気鑑定所,ボツワナ
0.8,Very Good,F,SI1,59.8,60.6,1739,4.48,4.2,2.49,中島建設合同会社鑑定所,南アフリカ
0.91,Very Good,H,VVS1,63.1,62.3,2224,4.28,4.13,2.86,株式会社中村運輸鑑定所,ロシア
0.98,Premium,F,IF,59.8,55.6,2963,4.49,4.34,2.44,株式会社前田銀行鑑定所,オーストラリア
0.74,Very Good,H,VVS2,59.9,65.5,1744,4.25,4.02,2.43,林運輸株式会社鑑定所,ボツワナ
1.17,Good,E,IF,58.8,56.4,3463,5.19,5.03,3.37,渡辺運輸有限会社鑑定所,オーストラリア
0.94,Good,I,VS1,66.5,50.0,2372,4.56,4.51,2.4,株式会社吉田保険鑑定所,ボツワナ
1.04,Premium,H,VS2,58.7,59.0,3509,4.3,4.19,2.83,吉田銀行合同会社鑑定所,ロシア
1.05,Very Good,G,VS1,58.8,55.6,3196,4.54,4.55,2.37,株式会社渡辺ガス鑑定所,ボツワナ
1.6,Very Good,F,VS1,60.5,65.4,6528,5.24,5.03,2.69,斉藤情報有限会社鑑定所,オーストラリア
1.0,Premium,E,VS1,62.9,60.7,3117,4.67,4.52,2.7,藤田印刷株式会社鑑定所,ボツワナ
1.06,Ideal,F,SI2,69.6,63.5,4049,4.93,4.73,2.95,株式会社前田電気鑑定所,ロシア
1.16,Premium,E,SI1,64.3,62.0,4570,4.7,4.77,3.28,石川ガス有限会社鑑定所,オーストラリア
0.89,Very Good,I,VS1,49.6,62.0,2400,4.65,4.59,2.68,合同会社吉田建設鑑定所,カナダ
0.38,Good,E,SI2,52.0,58.0,500,3.42,3.33,2.18,田中銀行合同会社鑑定所,南アフリカ
1.0,Good,D,VS2,68.0,64.1,2905,4.59,4.56,2.93,木村情報株式会社鑑定所,オーストラリア
1.55,Ideal,I,VVS1,46.4,59.4,10389,5.48,5.41,3.91,合同会社斉藤建設鑑定所,ロシア
1.87,Good,J,VVS1,58.0,63.0,9869,6.0,6.1,3.61,遠藤運輸合同会社鑑定所,ロシア
0.51,Good,D,VVS2,55.3,53.1,653,3.99,4.01,2.08,合同会社伊藤建設鑑定所,ロシア
0.68,Very Good,D,IF,54.2,58.9,1254,3.93,3.72,2.44,有限会社山田鉱業鑑定所,ボツワナ
0.38,Very Good,I,VVS2,63.4,51.6,500,3.43,3.44,1.98,有限会社林運輸鑑定所,ボツワナ
1.73,Ideal,J,VS1,69.6,61.6,10952,5.96,5.81,3.19,株式会社山口水産鑑定所,南アフリカ
0.48,Good,G,VS2,56.3,62.3,570,3.87,3.88,2.05,合同会社中村運輸鑑定所,ボツワナ
1.44,Premium,G,VS2,70.6,58.2,7432,5.38,5.28,3.76,株式会社中村鉱業鑑定所,オーストラリア
2.79,Good,F,VS1,60.4,62.5,23074,6.36,6.39,3.63,合同会社坂本銀行鑑定所,南アフリカ
1.25,Premium,J,VS2,52.0,62.3,6218,4.87,4.83,3.25,有限会社松田農林鑑定所,ボツワナ
1.37,Premium,G,SI1,60.8,63.9,5975,4.55,4.49,2.51,株式会社井上鉱業鑑定所,ロシア
0.62,Ideal,G,SI2,57.7,58.9,1314,4.03,3.98,2.56,株式会社加藤電気鑑定所,オーストラリア
0.79,Very Good,E,VS2,66.5,59.8,1852,4.29,4.26,2.62,有限会社坂本建設鑑定所,南アフリカ
0.91,Very Good,E,VVS1,43.9,61.2,2331,4.36,4.23,2.91,岡本運輸合同会社鑑定所,ボツワナ
1.17,Very Good,D,SI2,56.3,61.5,4018,4.91,4.64,3.02,株式会社坂本水産鑑定所,カナダ
1.48,Premium,D,I1,56.1,63.5,6821,5.0,4.7,2.91,高橋通信株式会社鑑定所,オーストラリア
1.66,Ideal,H,VS1,55.7,62.6,10230,5.39,5.27,3.29,合同会社斎藤電気鑑定所,カナダ
0.95,Premium,E,VS2,64.5,56.9,2821,4.31,4.2,1.98,清水通信株式会社鑑定所,カナダ
0.36,Very Good,E,VS2,64.3,59.7,500,3.63,3.53,2.14,山田建設合同会社鑑定所,ロシア
1.28,Premium,D,VS2,62.7,55.5,5536,4.63,4.64,3.05,合同会社藤原鉱業鑑定所,ロシア
0.53,Premium,I,IF,62.8,58.2,1033,3.51,3.41,2.11,株式会社鈴木電気鑑定所,南アフリカ
2.18,Good,I,SI2,53.0,63.1,12018,6.18,6.19,3.85,合同会社林建設鑑定所,オーストラリア
1.08,Premium,F,SI2,66.4,59.2,4131,4.83,4.8,2.74,合同会社加藤農林鑑定所,南アフリカ
1.15,Good,G,VVS1,65.1,66.7,3399,4.85,4.81,3.23,中島ガス株式会社鑑定所,ロシア
0.82,Premium,J,VVS2,60.9,55.6,2130,4.32,4.34,2.85,有限会社高橋銀行鑑定所,カナダ
0.95,Premium,H,VVS2,63.8,59.9,3194,4.59,4.69,2.48,吉田銀行合同会社鑑定所,オーストラリア
1.28,Ideal,H,VS2,68.5,58.5,5439,5.13,4.87,3.4,鈴木電気合同会社鑑定所,オーストラリア
0.38,Premium,I,SI1,77.8,60.7,500,3.24,3.16,2.15,有限会社山崎水産鑑定所,カナダ
0.76,Good,G,VS2,65.8,59.3,1520,4.15,4.1,2.18,山口情報有限会社鑑定所,ボツワナ
0.6,Premium,H,VVS1,53.1,59.3,1198,4.3,4.21,2.76,合同会社林保険鑑定所,南アフリカ
0.84,Premium,D,VS2,66.4,62.5,2615,4.52,4.38,2.55,森水産合同会社鑑定所,ロシア
0.69,Premium,D,IF,61.1,54.2,1400,3.9,3.79,2.19,有限会社橋本運輸鑑定所,オーストラリア
0.51,Ideal,F,VS2,67.4,58.9,1029,3.73,3.67,2.37,渡辺食品有限会社鑑定所,カナダ
1.84,Premium,F,VVS2,59.7,60.1,13875,5.37,5.47,3.05,高橋ガス株式会社鑑定所,ロシア
0.98,Ideal,F,VVS2,62.6,56.1,2867,4.52,4.37,2.54,鈴木ガス有限会社鑑定所,ロシア
0.66,Premium,I,VS2,59.9,67.2,1430,4.56,4.35,2.57,有限会社木村銀行鑑定所,オーストラリア
0.53,Ideal,E,SI1,64.7,59.0,973,3.64,3.48,2.29,有限会社高橋保険鑑定所,オーストラリア
2.14,Good,F,VS1,66.5,56.9,11381,6.15,6.23,3.92,合同会社藤田通信鑑定所,ロシア
1.26,Good,H,SI1,62.0,59.1,4556,5.16,5.1,3.34,有限会社石井食品鑑定所,南アフリカ
0.67,Very Good,F,SI2,59.3,59.7,1707,4.15,4.11,2.33,合同会社伊藤鉱業鑑定所,南アフリカ
0.52,Very Good,H,SI2,66.8,58.1,783,3.99,3.92,2.47,中村電気合同会社鑑定所,オーストラリア
1.33,Premium,D,SI2,60.8,60.6,6992,5.31,5.15,3.22,有限会社佐藤農林鑑定所,オーストラリア
3.14,Ideal,F,VVS1,58.8,58.7,29246,7.06,6.79,4.23,前田通信合同会社鑑定所,ボツワナ
0.99,Good,H,VS2,58.8,60.3,2601,4.61,4.44,2.81,有限会社村上保険鑑定所,南アフリカ
0.96,Good,H,SI2,60.2,66.6,2242,4.62,4.37,2.96,前田印刷株式会社鑑定所,南アフリカ
1.92,Ideal,J,VS1,66.8,56.3,12385,5.8,5.72,3.42,株式会社佐藤印刷鑑定所,南アフリカ
1.29,Premium,G,VVS2,56.0,60.1,4624,5.02,4.8,3.39,合同会社林水産鑑定所,ボツワナ
0.92,Good,E,VS2,57.0,59.4,2336,4.56,4.42,2.34,株式会社橋本運輸鑑定所,ボツワナ
1.61,Premium,D,SI2,61.0,65.8,8256,5.41,5.49,2.64,松本保険有限会社鑑定所,南アフリカ
0.84,Very Good,E,SI1,60.1,53.2,2031,4.51,4.5,2.37,村上電気有限会社鑑定所,オーストラリア
1.2,Premium,J,VVS1,61.9,58.0,4564,5.49,5.31,3.3,山下水産株式会社鑑定所,ロシア
1.07,Premium,D,SI2,61.2,65.4,4109,5.1,4.98,2.71,株式会社森銀行鑑定所,カナダ
1.64,Ideal,H,VVS2,58.0,55.5,8114,5.45,5.25,3.55,合同会社田中銀行鑑定所,南アフリカ
0.36,Premium,J,VVS1,59.4,58.5,500,3.14,3.05,1.96,松本保険合同会社鑑定所,ボツワナ
1.36,Good,H,SI1,62.4,60.0,4948,5.34,5.38,3.49,山本ガス有限会社鑑定所,オーストラリア
0.61,Premium,I,VVS1,65.9,59.4,1272,4.17,4.15,2.25,青木鉱業合同会社鑑定所,南アフリカ
0.84,Good,I,I1,55.3,57.8,2109,4.34,4.21,2.88,森運輸合同会社鑑定所,ロシア
0.64,Good,F,VS1,54.6,60.1,1063,3.75,3.77,2.14,佐藤銀行合同会社鑑定所,ボツワナ
0.47,Very Good,I,VS1,59.7,58.2,632,3.4,3.28,2.0,合同会社松田水産鑑定所,ボツワナ
1.29,Premium,J,VS1,54.2,53.4,5135,4.94,4.83,3.24,株式会社佐藤銀行鑑定所,ロシア
1.22,Premium,D,VS2,56.7,55.3,4988,4.77,4.67,3.21,井上ガス有限会社鑑定所,南アフリカ
0.59,Fair,F,IF,55.5,58.1,878,3.73,3.68,2.1,木村運輸有限会社鑑定所,ロシア
1.1,Ideal,H,IF,55.5,59.1,4654,4.92,4.72,2.96,藤田農林株式会社鑑定所,ロシア
0.56,Premium,D,VS1,60.5,55.4,959,3.65,3.54,2.07,株式会社木村銀行鑑定所,ボツワナ
1.48,Ideal,H,SI2,64.5,57.2,7719,5.12,4.86,2.98,有限会社池田農林鑑定所,ボツワナ
1.13,Fair,H,I1,54.5,58.9,3367,5.01,5.09,2.9,合同会社山田電気鑑定所,オーストラリア
0.58,Premium,H,VVS1,60.9,59.9,1085,3.48,3.39,2.02,株式会社小林建設鑑定所,ロシア
1.31,Fair,J,SI1,52.4,60.9,3292,4.78,4.66,3.14,松本情報株式会社鑑定所,カナダ
0.89,Very Good,D,VS1,64.4,60.0,2146,4.92,4.83,2.95,株式会社中島ガス鑑定所,ボツワナ
1.75,Very Good,J,VVS2,58.5,60.5,8186,5.53,5.38,3.31,中村銀行合同会社鑑定所,南アフリカ
1.6,Premium,I,IF,57.4,59.4,9074,5.25,5.19,3.0,有限会社小林水産鑑定所,オーストラリア
2.29,Premium,I,IF,64.5,56.7,19007,5.68,5.62,3.65,森電気株式会社鑑定所,オーストラリア
0.51,Premium,H,VS2,64.3,63.2,971,3.81,3.75,2.53,合同会社吉田銀行鑑定所,オーストラリア
0.78,Ideal,H,IF,59.1,64.3,2051,4.53,4.41,2.44,高橋電気株式会社鑑定所,カナダ
2.27,Very Good,G,I1,61.2,58.8,13214,6.21,6.11,4.21,渡辺情報合同会社鑑定所,南アフリカ
1.0,Premium,I,IF,54.7,65.4,3340,4.24,4.22,2.57,清水運輸有限会社鑑定所,カナダ
1.46,Ideal,I,VVS2,55.7,59.3,7098,5.09,4.81,2.78,高橋食品株式会社鑑定所,南アフリカ
1.02,Good,E,SI2,55.2,67.0,3050,4.51,4.42,2.73,渡辺建設合同会社鑑定所,カナダ
1.54,Premium,F,VVS2,66.9,62.5,6808,5.41,5.31,2.74,合同会社山田情報鑑定所,オーストラリア
0.62,Ideal,F,VS2,56.8,61.0,1489,3.77,3.72,2.32,坂本印刷有限会社鑑定所,南アフリカ
2.36,Ideal,D,VVS2,57.8,55.0,20382,6.16,6.17,3.41,松本電気合同会社鑑定所,南アフリカ
0.53,Premium,I,VVS2,64.8,57.7,1020,4.02,3.92,2.39,有限会社斉藤農林鑑定所,ボツワナ
0.42,Very Good,I,VS2,67.5,54.1,542,3.73,3.59,1.85,佐藤銀行合同会社鑑定所,オーストラリア
1.62,Very Good,H,IF,56.8,58.2,6759,5.22,5.14,2.8,株式会社岡田印刷鑑定所,ボツワナ
